timestamp,test_name,k,g,s,success_rate,trials
2026-09-08T23:43:47.066815,Test 1,2,10,7,100.0,10
2026-09-08T23:43:47.066815,Test 2,2,10,7,100.0,10
2026-09-08T23:43:47.066815,Test 3,2,10,7,20.0,10
2026-09-08T23:43:47.069522,Test 1,2,10,8,100.0,10
2026-09-08T23:43:47.069522,Test 2,2,10,8,100.0,10
2026-09-08T23:43:47.069522,Test 3,2,10,8,10.0,10
2026-09-08T23:43:47.072220,Test 1,2,12,2,100.0,10
2026-09-08T23:43:47.072220,Test 2,2,12,2,100.0,10
2026-09-08T23:43:47.072220,Test 3,2,12,2,100.0,10
2026-09-08T23:43:47.074823,Test 1,2,12,3,100.0,10
2026-09-08T23:43:47.074823,Test 2,2,12,3,100.0,10
2026-09-08T23:43:47.074823,Test 3,2,12,3,80.0,10
2026-09-08T23:43:47.077558,Test 1,2,12,4,100.0,10
2026-09-08T23:43:47.077558,Test 2,2,12,4,100.0,10
2026-09-08T23:43:47.077558,Test 3,2,12,4,40.0,10
2026-09-08T23:43:47.080643,Test 1,2,12,5,100.0,10
2026-09-08T23:43:47.080643,Test 2,2,12,5,100.0,10
2026-09-08T23:43:47.080643,Test 3,2,12,5,50.0,10
2026-09-08T23:43:47.083556,Test 1,2,12,6,100.0,10
2026-09-08T23:43:47.083556,Test 2,2,12,6,100.0,10
2026-09-08T23:43:47.083556,Test 3,2,12,6,40.0,10
2026-09-08T23:43:47.086457,Test 1,2,12,7,100.0,10
2026-09-08T23:43:47.086457,Test 2,2,12,7,100.0,10
2026-09-08T23:43:47.086457,Test 3,2,12,7,10.0,10
2026-09-08T23:43:47.089843,Test 1,2,12,8,100.0,10
2026-09-08T23:43:47.089843,Test 2,2,12,8,100.0,10
2026-09-08T23:43:47.089843,Test 3,2,12,8,20.0,10
2026-09-08T23:43:47.091921,Test 1,4,5,2,100.0,10
2026-09-08T23:43:47.091921,Test 2,4,5,2,100.0,10
2026-09-08T23:43:47.091921,Test 3,4,5,2,40.0,10
2026-09-08T23:43:47.094142,Test 1,4,5,3,100.0,10
2026-09-08T23:43:47.094142,Test 2,4,5,3,100.0,10
2026-09-08T23:43:47.094142,Test 3,4,5,3,10.0,10
2026-09-08T23:43:47.096608,Test 1,4,5,4,100.0,10
2026-09-08T23:43:47.096608,Test 2,4,5,4,100.0,10
2026-09-08T23:43:47.096608,Test 3,4,5,4,0.0,10
2026-09-08T23:43:47.099122,Test 1,4,5,5,100.0,10
2026-09-08T23:43:47.099122,Test 2,4,5,5,100.0,10
2026-09-08T23:43:47.099122,Test 3,4,5,5,0.0,10
2026-09-08T23:43:47.101383,Test 1,4,6,2,100.0,10
2026-09-08T23:43:47.101383,Test 2,4,6,2,100.0,10
2026-09-08T23:43:47.101383,Test 3,4,6,2,10.0,10
2026-09-08T23:43:47.103909,Test 1,4,6,3,100.0,10
2026-09-08T23:43:47.103909,Test 2,4,6,3,100.0,10
2026-09-08T23:43:47.103909,Test 3,4,6,3,0.0,10
2026-09-08T23:43:47.106564,Test 1,4,6,4,100.0,10
2026-09-08T23:43:47.106564,Test 2,4,6,4,100.0,10
2026-09-08T23:43:47.106564,Test 3,4,6,4,0.0,10
2026-09-08T23:43:47.109140,Test 1,4,6,5,100.0,10
2026-09-08T23:43:47.109140,Test 2,4,6,5,100.0,10
2026-09-08T23:43:47.109140,Test 3,4,6,5,0.0,10
2026-09-08T23:43:47.111780,Test 1,4,6,6,100.0,10
2026-09-08T23:43:47.111780,Test 2,4,6,6,100.0,10
2026-09-08T23:43:47.111780,Test 3,4,6,6,0.0,10
2026-09-08T23:43:47.114745,Test 1,4,8,2,100.0,10
2026-09-08T23:43:47.114745,Test 2,4,8,2,100.0,10
2026-09-08T23:43:47.114745,Test 3,4,8,2,60.0,10
2026-09-08T23:43:47.117572,Test 1,4,8,3,100.0,10
2026-09-08T23:43:47.117572,Test 2,4,8,3,100.0,10
2026-09-08T23:43:47.117572,Test 3,4,8,3,0.0,10
2026-09-08T23:43:47.120523,Test 1,4,8,4,100.0,10
2026-09-08T23:43:47.120523,Test 2,4,8,4,100.0,10
2026-09-08T23:43:47.120523,Test 3,4,8,4,0.0,10
2026-09-08T23:43:47.123807,Test 1,4,8,5,100.0,10
2026-09-08T23:43:47.123807,Test 2,4,8,5,100.0,10
2026-09-08T23:43:47.123807,Test 3,4,8,5,0.0,10
2026-09-08T23:43:47.126922,Test 1,4,8,6,100.0,10
2026-09-08T23:43:47.126922,Test 2,4,8,6,100.0,10
2026-09-08T23:43:47.126922,Test 3,4,8,6,0.0,10
2026-09-08T23:43:47.130601,Test 1,4,8,7,100.0,10
2026-09-08T23:43:47.130601,Test 2,4,8,7,100.0,10
2026-09-08T23:43:47.130601,Test 3,4,8,7,0.0,10
2026-09-08T23:43:47.133964,Test 1,4,8,8,100.0,10
2026-09-08T23:43:47.133964,Test 2,4,8,8,100.0,10
2026-09-08T23:43:47.133964,Test 3,4,8,8,0.0,10
2026-09-08T23:43:47.137134,Test 1,4,10,2,100.0,10
2026-09-08T23:43:47.137134,Test 2,4,10,2,100.0,10
2026-09-08T23:43:47.137134,Test 3,4,10,2,30.0,10
2026-09-08T23:43:47.140762,Test 1,4,10,3,100.0,10
2026-09-08T23:43:47.140762,Test 2,4,10,3,100.0,10
2026-09-08T23:43:47.140762,Test 3,4,10,3,10.0,10
2026-09-08T23:43:47.144236,Test 1,4,10,4,100.0,10
